url,arrangement_type,employment_type,domain,English level,requirements
https://djinni.co/jobs/734337-web-analyst-trainee/,Full Remote,Fulltime,Gambling,B2 - Upper Intermediate,Not Listed
https://djinni.co/jobs/736618-acquisition-data-analyst/,Office or Remote,Fulltime,E-commerce / Marketplace,B2 - Upper Intermediate,"SQL, Excel, Data Analysis, Data Visualisation, Data Analyst, Analysis and research, Microsoft Office"
https://djinni.co/jobs/740506-anti-fraud-analyst/,Full Remote,Fulltime,Gambling,A2 - Elementary,Not Listed
https://djinni.co/jobs/751946-data-analyst/,Office or Remote,Fulltime,Fintech,A2 - Elementary,Not Listed
https://djinni.co/jobs/752898-big-data-analyst/,Full Remote,Fulltime,Telecom / Communications,,"SQL, Jira, Confluence"
https://djinni.co/jobs/756520-data-analyst/,Full Remote,Fulltime,Healthcare / MedTech,B1 - Intermediate,Not Listed
https://djinni.co/jobs/760743-anti-fraud-analyst/,Full Remote,Fulltime,Gambling,,Not Listed
https://djinni.co/jobs/762153-junior-business-intelligence-analyst/,Full Remote,Fulltime,Other,B1 - Intermediate,"business analysis, Business Intelligence, Business Analytics"
https://djinni.co/jobs/762155-business-intelligence-analyst/,Full Remote,Fulltime,Other,B1 - Intermediate,"Business Intelligence, Busines Analysis, business analysis"
https://djinni.co/jobs/762452-retention-and-product-marketing-analyst/,Hybrid Remote,Fulltime,Advertising / Marketing,B2 - Upper Intermediate,Not Listed
https://djinni.co/jobs/763123-operations-specialist/,Full Remote,Fulltime,Gambling,C1 - Advanced,"Google Sheets, ability to learn quickly, communication skills, English, statistics"
https://djinni.co/jobs/763859-junior-data-analyst/,Full Remote,Fulltime,Other,B2 - Upper Intermediate,"Data Analysis, Data Analyst, SQL, Data Analisys, Power BI, Microsoft SSMS, Tableau, ETL, API integration"
https://djinni.co/jobs/764633-junior-product-analyst/,Full Remote,Fulltime,Gamedev,B1 - Intermediate,Not Listed
https://djinni.co/jobs/765082-data-analyst/,Full Remote,Fulltime,Machine Learning / Big Data,B1 - Intermediate,Not Listed
https://djinni.co/jobs/765826-junior-data-analytics-specialist/,Full Remote,Fulltime,Other,B2 - Upper Intermediate,"Python, Power BI, Excel, Data Analysis, MS Excel"
https://djinni.co/jobs/766018-business-analyst/,Hybrid Remote,Fulltime,Other,B1 - Intermediate,Not Listed
https://djinni.co/jobs/766499-retention-data-analyst/,Office or Remote,Fulltime,E-commerce / Marketplace,B2 - Upper Intermediate,Not Listed
https://djinni.co/jobs/767241-data-analyst/,Full Remote,Fulltime,SaaS,B1 - Intermediate,"Data Visualisation, Excel, Google Sheets, Analysis and research, analytical skills"
